v8-version,5,8,283,41,0
shared-library,"/home/ln-433/.nvm/versions/node/v8.1.3/bin/node",0x00400000,0x02073000,0
shared-library,"/lib/x86_64-linux-gnu/libc-2.19.so",0x7f5e4a85b000,0x7f5e4aa19000,0
shared-library,"/lib/x86_64-linux-gnu/libpthread-2.19.so",0x7f5e4ac24000,0x7f5e4ac3d000,0
shared-library,"/lib/x86_64-linux-gnu/libgcc_s.so.1",0x7f5e4ae42000,0x7f5e4ae58000,0
shared-library,"/lib/x86_64-linux-gnu/libm-2.19.so",0x7f5e4b058000,0x7f5e4b15d000,0
shared-library,"/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.19",0x7f5e4b35e000,0x7f5e4b444000,0
shared-library,"/lib/x86_64-linux-gnu/librt-2.19.so",0x7f5e4b662000,0x7f5e4b669000,0
shared-library,"/lib/x86_64-linux-gnu/libdl-2.19.so",0x7f5e4b86a000,0x7f5e4b86d000,0
shared-library,"/lib/x86_64-linux-gnu/ld-2.19.so",0x7f5e4ba6e000,0x7f5e4ba91000,0
shared-library,"[vdso]",0x7ffd1e1f7000,0x7ffd1e1f9000,0
shared-library,"[vsyscall]",0xffffffffff600000,0xffffffffff601000,0
profiler,"begin",1
tick,0x7f5e4ac32670,386,0,(nil),4
tick,0x7f5e4a9b106f,1402,0,(nil),4
code-creation,Builtin,5,0xf847cb04000,134,"EmptyFunction"
code-creation,Stub,3,0xf847cb040a0,382,"CEntryStub"
code-creation,Builtin,5,0xf847cb04220,139,"ConstructedNonConstructable"
code-creation,Stub,3,0xf847cb042c0,382,"CEntryStub"
code-creation,Builtin,5,0xf847cb04440,653,"CompileLazy"
code-creation,Stub,3,0xf847cb046e0,1358,"RecordWriteStub"
code-creation,Stub,3,0xf847cb04c40,168,"StoreBufferOverflowStub"
code-creation,Stub,3,0xf847cb04d00,1386,"RecordWriteStub"
code-creation,Builtin,5,0xf847cb05280,299,"JSConstructStubGeneric"
code-creation,Builtin,5,0xf847cb053c0,674,"FastNewObject"
code-creation,Builtin,5,0xf847cb05680,327,"ArgumentsAdaptorTrampoline"
code-creation,Handler,4,0xf847cb057e0,256,"An IC handler from the snapshot"
code-creation,Stub,16,0xf847cb058e0,423,"BinaryOpICStub"
code-creation,Stub,3,0xf847cb05aa0,565,"CEntryStub"
code-creation,Stub,16,0xf847cb05ce0,423,"BinaryOpICStub"
code-creation,Stub,3,0xf847cb05ea0,2295,"RecordWriteStub"
code-creation,Stub,3,0xf847cb067a0,388,"StoreBufferOverflowStub"
code-creation,Stub,3,0xf847cb06940,2254,"RecordWriteStub"
code-creation,Stub,3,0xf847cb07220,2296,"RecordWriteStub"
code-creation,Stub,3,0xf847cb07b20,2253,"RecordWriteStub"
code-creation,Stub,16,0xf847cb08400,208,"BinaryOpICStub"
code-creation,Stub,3,0xf847cb084e0,463,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,0xf847cb086c0,2253,"RecordWriteStub"
code-creation,Stub,3,0xf847cb08fa0,511,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,0xf847cb091a0,2241,"RecordWriteStub"
code-creation,Stub,16,0xf847cb09a80,268,"BinaryOpICStub"
code-creation,Stub,3,0xf847cb09ba0,185,"DoubleToIStub"
code-creation,Stub,3,0xf847cb09c60,2269,"RecordWriteStub"
code-creation,Stub,3,0xf847cb0a540,2270,"RecordWriteStub"
code-creation,Stub,18,0xf847cb0ae20,196,"ToBooleanICStub"
code-creation,Stub,3,0xf847cb0af00,2279,"RecordWriteStub"
code-creation,Stub,17,0xf847cb0b800,157,"CompareICStub"
code-creation,Stub,3,0xf847cb0b8a0,1038,"CallICStub"
code-creation,Builtin,5,0xf847cb0bcc0,359,"CallFunction_ReceiverIsNotNullOrUndefined"
code-creation,Builtin,5,0xf847cb0be40,459,"ToObject"
code-creation,Stub,3,0xf847cb0c020,2250,"RecordWriteStub"
code-creation,Stub,3,0xf847cb0c900,466,"ArrayConstructorStub"
code-creation,Stub,3,0xf847cb0cae0,343,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,0xf847cb0cc40,343,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,0xf847cb0cda0,311,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,0xf847cb0cee0,311,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,0xf847cb0d020,299,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,0xf847cb0d160,299,"ArrayNoArgumentConstructorStub"
code-creation,Builtin,5,0xf847cb0d2a0,121,"Abort"
code-creation,Stub,3,0xf847cb0d320,471,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,0xf847cb0d500,439,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,0xf847cb0d6c0,471,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,0xf847cb0d8a0,423,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,0xf847cb0da60,123,"ArrayNArgumentsConstructorStub"
code-creation,Stub,3,0xf847cb0dae0,299,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,0xf847cb0dc20,423,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,0xf847cb0dde0,471,"ArraySingleArgumentConstructorStub"
code-creation,Builtin,5,0xf847cb0dfc0,238,"Call_ReceiverIsNotNullOrUndefined"
code-creation,Builtin,5,0xf847cb0e0c0,249,"CallBoundFunction"
